// Made in NPC Maker by BowieD
GUID 1646ed7b9d7d497e97f30c864573cec0
Type Vendor
ID 4243
Buying 4
Buying_0_ID 381
Buying_0_Cost 40
Buying_1_ID 20285
Buying_1_Cost 1200
Buying_2_ID 20270
Buying_2_Cost 900
Buying_3_ID 20272
Buying_3_Cost 180
Selling 7
Selling_0_ID 381
Selling_0_Cost 50
Selling_1_ID 20285
Selling_1_Cost 1500
Selling_2_ID 20270
Selling_2_Cost 1000
Selling_3_ID 20272
Selling_3_Cost 200
Selling_4_ID 1441
Selling_4_Cost 9000
Selling_5_ID 1442
Selling_5_Cost 9000
Selling_6_ID 1443
Selling_6_Cost 9000
