// Made in NPC Maker by BowieD
GUID 437dc9e8aad04c878a3e046125082893
Type Vendor
ID 1375
Buying 14
Buying_0_ID 34003
Buying_0_Cost 250
Buying_1_ID 34216
Buying_1_Cost 250
Buying_2_ID 34212
Buying_2_Cost 90
Buying_3_ID 34007
Buying_3_Cost 270
Buying_4_ID 34008
Buying_4_Cost 270
Buying_5_ID 34010
Buying_5_Cost 220
Buying_6_ID 34011
Buying_6_Cost 220
Buying_7_ID 34115
Buying_7_Cost 300
Buying_8_ID 34229
Buying_8_Cost 210
Buying_9_ID 34238
Buying_9_Cost 700
Buying_10_ID 34245
Buying_10_Cost 550
Buying_11_ID 34246
Buying_11_Cost 550
Buying_12_ID 34247
Buying_12_Cost 550
Buying_13_ID 34248
Buying_13_Cost 550
Selling 14
Selling_0_ID 34003
Selling_0_Cost 260
Selling_1_ID 34216
Selling_1_Cost 260
Selling_2_ID 34212
Selling_2_Cost 100
Selling_3_ID 34007
Selling_3_Cost 280
Selling_4_ID 34008
Selling_4_Cost 280
Selling_5_ID 34010
Selling_5_Cost 230
Selling_6_ID 34011
Selling_6_Cost 230
Selling_7_ID 34115
Selling_7_Cost 310
Selling_8_ID 34229
Selling_8_Cost 215
Selling_9_ID 34238
Selling_9_Cost 780
Selling_10_ID 34245
Selling_10_Cost 560
Selling_11_ID 34246
Selling_11_Cost 560
Selling_12_ID 34247
Selling_12_Cost 560
Selling_13_ID 34248
Selling_13_Cost 560
