// Made in NPC Maker by BowieD
GUID 43ed9a9cc6824383bd1fdfad4034bb45
Type Vendor
ID 1369
Buying 6
Buying_0_ID 363
Buying_0_Cost 1000
Buying_1_ID 17
Buying_1_Cost 120
Buying_2_ID 20243
Buying_2_Cost 780
Buying_3_ID 20245
Buying_3_Cost 120
Buying_4_ID 20131
Buying_4_Cost 480
Buying_5_ID 20132
Buying_5_Cost 70
Selling 7
Selling_0_ID 363
Selling_0_Cost 1200
Selling_1_ID 17
Selling_1_Cost 150
Selling_2_ID 20243
Selling_2_Cost 800
Selling_3_ID 20245
Selling_3_Cost 130
Selling_4_ID 20277
Selling_4_Cost 450
Selling_5_ID 20131
Selling_5_Cost 700
Selling_6_ID 20132
Selling_6_Cost 80
